a#000952,a177959,a00176676
a#000953,a178121,a00176838
a#000954,a178274,a00176991
a#000955,a178468,a00177186
a#000956,a178829,a00177547
a#000957,a179134,a00177834
a#000958,a179263,a00177963
a#000959,a179426,a00178126
a#000960,a179764,a00178464
a#000961,a179875,a00178575
a#000962,a180111,a00178811
a#000963,a180335,a00179035
a#000964,a180490,a00179190
a#000965,a180615,a00179315
a#000966,a180786,a00179486
a#000967,a180976,a00179676
a#000968,a181115,a00179815
a#000969,a181225,a00179925
a#000970,a181511,a00180211
a#000971,a181659,a00180359
a#000972,a181796,a00180496
a#000973,a181955,a00180655
a#000974,a182135,a00180835
a#000975,a182330,a00181030
a#000976,a182462,a00181162
a#000977,a182564,a00181264
a#000978,a182673,a00181373
a#000979,a182776,a00181476
a#000980,a183204,a00181904
a#000981,a183386,a00182086
a#000982,a183525,a00182225
a#000983,a183718,a00182418
a#000984,a183810,a00182510
a#000985,a183939,a00182639
a#000986,a184018,a00182718
a#000987,a184143,a00182843
a#000988,a184261,a00182961
a#000989,a184353,a00183053
a#000990,a184975,a00183675
a#000991,a185132,a00183832
a#000992,a185232,a00183932
a#000993,a185375,a00184075
a#000994,a185529,a00184229
a#000995,a185663,a00184363
a#000996,a185843,a00184543
a#000997,a185976,a00184676
a#000998,a186092,a00184792
a#000999,a186320,a00185020
a#001000,a186460,a00185160
a#001001,a186663,a00185363
a#001002,a186809,a00185509
a#001003,a186907,a00185607
